"No.","Time","Source","Destination","Protocol","Length","Info","Source_port","Dest_port"
"1","0.000000","192.168.0.14","74.125.131.119","TLSv1.2","218","Application Data","54434","443"
"2","0.000550","192.168.0.14","74.125.131.119","TLSv1.2","217","Application Data","54434","443"
"3","0.003480","192.168.0.14","74.125.131.119","TLSv1.2","218","Application Data","54434","443"
"4","0.003780","192.168.0.14","74.125.131.119","TLSv1.2","217","Application Data","54434","443"
"5","0.005202","192.168.0.14","74.125.131.119","TLSv1.2","216","Application Data","54434","443"
"6","0.006385","192.168.0.14","74.125.131.119","TLSv1.2","218","Application Data","54434","443"
"7","0.009273","192.168.0.14","74.125.131.119","TLSv1.2","217","Application Data","54434","443"
"8","0.062959","74.125.131.119","192.168.0.14","TLSv1.2","176","Application Data","443","54434"
"9","0.064316","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"10","0.064358","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=1553 Win=64860 Len=0","54434","443"
"11","0.069004","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"12","0.069053","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=2983 Win=64860 Len=0","54434","443"
"13","0.070272","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"14","0.070317","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=4413 Win=64860 Len=0","54434","443"
"15","0.081053","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"16","0.081116","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=5843 Win=64860 Len=0","54434","443"
"17","0.082250","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"18","0.082293","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=7273 Win=64860 Len=0","54434","443"
"19","0.089545","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"20","0.089608","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=8703 Win=64860 Len=0","54434","443"
"21","0.090992","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"22","0.091037","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=10133 Win=64860 Len=0","54434","443"
"23","0.100354","74.125.131.119","192.168.0.14","TCP","54","443  >  54434 [ACK] Seq=10133 Ack=492 Win=65392 Len=0","443","54434"
"24","0.101519","74.125.131.119","192.168.0.14","TLSv1.2","1484","Application Data","443","54434"
"25","0.101580","192.168.0.14","74.125.131.119","TCP","54","54434  >  443 [ACK] Seq=1144 Ack=11563 Win=64860 Len=0","54434","443"
